result,number_of_fixations
7.480036192136777,16
7.488459829196589,17
7.4940722606160275,18
7.498617296204021,18
7.498619399867393,18
7.4996109944413165,17
7.500193963996802,18
7.500654706621097,18
7.5014716728614275,18
7.507625427387363,17
7.5177727067678175,16
7.521885526151092,16
7.52722592715539,17
7.528822145587767,18
7.529317707453087,18
7.530126951201443,18
7.534035418327618,17
7.536195275202652,16
7.537941505292993,16
7.538216869354189,15
7.547986407906352,16
7.556042936145505,17
7.556770962505568,18
7.556845051415179,19
7.558852136313556,20
7.560437599817619,19
7.5616522273893585,19
7.563481976351347,20
7.5658944307680525,20
7.568471591548035,21
7.573226311386321,21
7.577437299175322,21
7.57843161542605,21
7.5784378767529486,22
7.578606702208927,21
7.5792891083021585,20
7.580538630092539,20
7.580619313333867,20
7.58387594699788,20
7.584851529415293,20
7.586705738243291,19
7.5931026250848666,18
7.594366444512121,19
7.600687207610202,19
7.602702705159986,19
7.603420970514177,20
7.606996114874738,20
7.607095685955199,21
7.610812861790869,22
7.618509527568557,22
7.619484172624126,23
7.621508319462083,23
7.621515226452689,24
7.621983444732285,23
7.626685291722558,23
7.632623438661833,22
7.632768723111502,21
7.633413100377615,22
7.633737788314018,21
7.637424651540941,21
7.638374120771717,21
7.642009921074754,21
7.648620192024121,21
7.651476951891192,21
7.653190815645917,21
7.654211145537543,21
7.655799355807808,22
7.657376725972144,23
7.658484655277237,23
7.658577042618936,23
7.659135022627495,24
7.659758261513512,25
7.662437042550552,25
7.66335947037751,24
7.663483399021673,25
7.667503881878255,25
7.670647608489822,24
7.672309061854692,24
7.677202107862945,24
7.691771619930956,23
7.691954352111048,22
7.69223868933101,22
7.692885621328709,21
7.697355962173698,21
7.698750679189244,20
7.70452083338178,20
7.704551381530586,19
7.707004680355453,20
7.710030706188884,19
7.7176563043425235,19
7.7250774025017,18
7.725159519674209,19
7.738113117474234,19
7.741113973635751,20
7.74144761166472,19
7.743548433278701,18
7.7455940544020905,18
7.753398928300403,17
7.764300046498746,16
7.767165002372517,16
7.767531354126735,16
7.772367206254889,16
7.784840258330319,15
7.791912469041609,15
7.798412672396937,15
7.805940378629037,15
7.813817527446669,15
7.819121745779648,16
7.823711755120585,16
7.825524141104079,15
7.827362665947843,16
7.828269788536519,15
7.835025456359654,16
7.836577934541772,15
7.842466319486882,14
7.851883342003326,15
7.861168446519682,14
7.870588003594715,14
7.871264147471173,14
7.885792729498379,14
7.886070417683354,14
7.887281985964425,13
7.896563502829123,13
7.900840469020484,14
7.924357293893223,15
7.925586329450244,14
7.927094268750297,14
7.936048870109389,15
7.954618422530265,15
7.95904236310175,15
7.964746916931498,15
7.965957163901712,14
7.978047593989208,14
7.979898430949795,15
7.9814523299126945,15
7.989407124666234,16
7.990578485314352,16
7.992083658324312,17
7.993079498679943,16
7.997282181956217,15
7.9989580636857065,14
8.003520819361977,14
8.026548920474502,13
8.031361155569861,12
8.035415595503222,13
8.03961471781564,13
8.054759845338602,12
8.06292732179581,11
8.06427733796102,12
8.066309015426269,12
8.069531733952594,12
8.085685517049495,12
8.08969224251186,13
8.090219301134317,14
8.094689640270124,13
8.095669905540738,13
8.09729673194393,12
8.098022181740351,13
8.120974283947014,12
8.124305654396803,12
8.127649000130864,12
8.132085984686551,13
8.134961439918566,12
8.13533091318234,13
8.137967127792376,12
8.153112332552503,12
8.155885165637065,13
8.168229056354043,13
8.174868952513648,13
8.186993263055754,13
8.190387390648352,13
8.19267918494127,12
8.200861248749156,11
8.201875950571,10
8.204867557010303,10
8.210918995662183,9
8.234631063599297,8
8.238845925186125,8
8.24477229217944,9
8.254301936006259,9
8.255740031150905,9
8.268654820331834,9
8.271144981160525,9
8.273281024885224,10
8.278968215928273,10
8.283489829180455,10
8.298825335511715,10
8.30795316808086,10
8.308726887883594,11
8.316285675119003,12
8.320218175099976,12
8.322775970179508,12
8.330922358275947,13
8.333496589034954,13
8.341111352492245,12
8.341123289251746,13
8.348638759135918,12
8.353512449298558,12
8.356178416983182,12
8.357042514171901,13
8.35936918480883,13
8.361049327696136,12
8.36166821885163,12
8.36302724895175,12
8.367213159084306,11
8.36938097376367,12
8.37281073646203,12
8.38008315538984,11
8.383664801937334,11
8.385902799808438,11
8.394703193992145,11
8.408841581520843,11
8.417216495524153,11
8.419503751372327,11
8.434737391134613,10
8.445397476421801,9
8.456960390176198,10
8.458326926016825,9
8.466226616768148,8
8.470363195563424,8
8.493804697898605,8
8.505688853352808,8
8.575167736640639,7
8.58310575875861,7
8.59590024916924,7
8.607441103456473,7
8.615735547723709,8
8.6191152330085,9
8.671770240839574,10
8.694766959466621,10
8.707728254528348,9
8.708181128666354,9
8.711535252507236,9
8.7115897358455,9
8.723553473745348,9
8.725813453245742,9
8.728670076085628,10
8.745999354394561,11
8.76262438146304,12
8.779003703581557,11
8.782664176999166,12
8.78768220430804,13
8.794517025679577,13
8.795350144058636,14
8.806108258127074,14
8.813713534411722,13
8.814827861671926,14
8.815744390393391,13
8.824208243044765,14
8.825215973914096,14
8.829149536722165,14
8.861734268642856,15
8.865783144077252,15
8.874003077235571,15
8.883822631069972,16
8.8922157378664,16
8.892729705596656,16
8.896477487358942,16
8.902384748238916,15
8.90547044266828,16
8.91409481096447,16
8.915782184568098,16
8.920401790778422,16
8.925989768082976,15
8.927528276883686,15
8.936854675754317,14
8.953946171999515,14
8.957218797772008,13
8.958937788978677,13
8.977866779558514,13
8.985551724959114,14
8.988272722506816,13
8.99965882790679,13
9.019933165925131,13
9.029234591264597,13
9.03583649166176,13
9.041340613232311,14
9.04590319137779,13
9.048193827888946,12
9.085584562662046,11
9.094385741763954,11
9.098684896534243,10
9.098782471772468,9
9.109446563841315,9
9.119122801242703,9
9.125779346566224,8
9.130201726668124,9
9.142141921187802,8
9.164614226671885,7
9.172856398096291,6
9.201379495744325,6
9.206160008453054,5
9.235192799876305,5
9.239866487023527,4
9.25506700300496,5
9.299727049376932,5
9.344998892369892,5
9.361832559227881,5
9.36465310697538,4
9.39246260008048,4
